1, 156.25 659.26 1. 3. 5. 7. 9. 11. 13. 0.2;
2, 1093.75 0. 0. 0. 0. 0. 0. 0. 0. 0.;
3, 156.25 659.26 1. 3. 5. 7. 9. 11. 13. 0.4;
4, 1093.75 0. 0. 0. 0. 0. 0. 0. 0. 0.;
5, 156.25 659.26 1. 3. 5. 7. 9. 11. 13. 0.6;
6, 1093.75 0. 0. 0. 0. 0. 0. 0. 0. 0..;
7, 156.25 659.26 1. 3. 5. 7. 9. 11. 13. 0.8;
8, 1093.75 0. 0. 0. 0. 0. 0. 0. 0. 0.;
9, 156.25 659.26 1. 3. 5. 7. 9. 11. 13. 1.;
10, 625. 0. 0. 0. 0. 0. 0. 0. 0. 0.;
11, 365. 466.16 2. 4. 6. 8. 10. 12. 14. 0.2;
12, 417.5 0. 0. 0. 0. 0. 0. 0. 0. 0.;
13, 156.25 659.26 1. 3. 5. 7. 9. 11. 13. 1.;
14, 625. 0. 0. 0. 0. 0. 0. 0. 0. 0.;
15, 365. 466.16 2. 4. 6. 8. 10. 12. 14. 0.4;
16, 208.75 0. 0. 0. 0. 0. 0. 0. 0. 0.;
17, 208.75 293.67 1. 8. 9. 10. 11. 12. 13. 0.2;
18, 156.25 659.26 1. 3. 5. 7. 9. 11. 13. 1.;
19, 156.25 0. 0. 0. 0. 0. 0. 0. 0. 0.;
20, 156.25 440. 1. 2. 3. 4. 5. 6.32 7. 0.2;
21, 365. 466.16 2. 4. 6. 8. 10. 12. 14. 0.6;
22, 208.75 0. 0. 0. 0. 0. 0. 0. 0. 0.;
23, 208.75 293.67 1. 8. 9. 10. 11. 12. 13. 0.4;
24, 156.25 659.26 1. 3. 5. 7. 9. 11. 13. 1.;
25, 156.25 0. 0. 0. 0. 0. 0. 0. 0. 0.;
26, 156.25 440. 1. 2. 3. 4. 5. 6.32 7. 0.4;
27, 365. 466.16 2. 4. 6. 8. 10. 12. 14. 0.8;
28, 208.75 0. 0. 0. 0. 0. 0. 0. 0. 0.;
29, 208.75 293.67 1. 8. 9. 10. 11. 12. 13. 0.6;
30, 156.25 659.26 1. 3. 5. 7. 9. 11. 13. 1.;
31, 156.25 0. 0. 0. 0. 0. 0. 0. 0. 0.;
32, 156.25 440. 1. 2. 3. 4. 5. 6.32 7. 0.6;
33, 365. 466.16 2. 4. 6. 8. 10. 12. 14. 1.;
34, 208.75 0. 0. 0. 0. 0. 0. 0. 0. 0.;
35, 208.75 293.67 1. 8. 9. 10. 11. 12. 13. 0.8;
36, 156.25 659.26 1. 3. 5. 7. 9. 11. 13. 1.;
37, 156.25 0. 0. 0. 0. 0. 0. 0. 0. 0.;
38, 156.25 440. 1. 2. 3. 4. 5. 6.32 7. 1.;
39, 365. 466.16 2. 4. 6. 8. 10. 12. 14. 1.;
40, 208.75 0. 0. 0. 0. 0. 0. 0. 0. 0.;
41, 208.75 293.67 1. 8. 9. 10. 11. 12. 13. 1.;
42, 625. 698.46 1. 1.01 3. 3.01 5. 5.01 7. 0.2;
43, 156.25 659.26 1. 3. 5. 7. 9. 11. 13. 1.;
44, 156.25 311.13 1. 2.02 3. 4.04 5. 6.06 7. 0.2;
45, 156.25 440. 1. 2. 3. 4. 5. 6.32 7. 1.;
46, 365. 466.16 2. 4. 6. 8. 10. 12. 14. 1.;
47, 208.75 0. 0. 0. 0. 0. 0. 0. 0. 0.;
48, 208.75 293.67 1. 8. 9. 10. 11. 12. 13. 1.;
49, 625. 698.46 1. 1.01 3. 3.01 5. 5.01 7. 0.4;
50, 156.25 659.26 1. 3. 5. 7. 9. 11. 13. 1.;
51, 156.25 311.13 1. 2.02 3. 4.04 5. 6.06 7. 0.4;
52, 156.25 440. 1. 2. 3. 4. 5. 6.32 7. 1.;
53, 365. 466.16 2. 4. 6. 8. 10. 12. 14. 1.;
54, 208.75 0. 0. 0. 0. 0. 0. 0. 0. 0.;
55, 208.75 293.67 1. 8. 9. 10. 11. 12. 13. 1.;
56, 625. 698.46 1. 1.01 3. 3.01 5. 5.01 7. 0.6;
57, 468.75 0. 0. 0. 0. 0. 0. 0. 0. 0.;
58, 156.25 554.37 1. 7.1 7.2 7.3 7.4 7.5 7.6 0.2;
59, 156.25 659.26 1. 3. 5. 7. 9. 11. 13. 1.;
60, 156.25 311.13 1. 2.02 3. 4.04 5. 6.06 7. 0.6;
61, 156.25 440. 1. 2. 3. 4. 5. 6.32 7. 1.;
62, 365. 466.16 2. 4. 6. 8. 10. 12. 14. 1.;
63, 208.75 0. 0. 0. 0. 0. 0. 0. 0. 0.;
64, 208.75 293.67 1. 8. 9. 10. 11. 12. 13. 1.;
65, 625. 698.46 1. 1.01 3. 3.01 5. 5.01 7. 0.8;
66, 156.25 0. 0. 0. 0. 0. 0. 0. 0. 0.;
67, 312.5 493.88 1. 3. 3.01 3.02 0.25 1.01 9. 0.2;
68, 156.25 554.37 1. 7.1 7.2 7.3 7.4 7.5 7.6 0.4;
69, 156.25 659.26 1. 3. 5. 7. 9. 11. 13. 1.;
70, 156.25 311.13 1. 2.02 3. 4.04 5. 6.06 7. 0.8;
71, 156.25 440. 1. 2. 3. 4. 5. 6.32 7. 1.;
72, 365. 466.16 2. 4. 6. 8. 10. 12. 14. 1.;
73, 208.75 370. 1. 2. 3. 4. 5. 6. 7. 0.8;
74, 208.75 293.67 1. 8. 9. 10. 11. 12. 13. 1.;
75, 625. 698.46 1. 1.01 3. 3.01 5. 5.01 7. 1.;
76, 156.25 0. 0. 0. 0. 0. 0. 0. 0. 0.;
77, 312.5 493.88 1. 3. 3.01 3.02 0.25 1.01 9. 0.4;
78, 156.25 554.37 1. 7.1 7.2 7.3 7.4 7.5 7.6 0.6;
79, 156.25 659.26 1. 3. 5. 7. 9. 11. 13. 1.;
80, 156.25 311.13 1. 2.02 3. 4.04 5. 6.06 7. 0.8;
81, 156.25 440. 1. 2. 3. 4. 5. 6.32 7. 1.;
82, 365. 466.16 2. 4. 6. 8. 10. 12. 14. 1.;
83, 208.75 370. 1. 2. 3. 4. 5. 6. 7. 0.8;
85, 625. 698.46 1. 1.01 3. 3.01 5. 5.01 7. 1.;
86, 156.25 392. 1. 2. 3. 4. 5. 6. 7. 0.7;
87, 312.5 493.88 1. 3. 3.01 3.02 0.25 1.01 9. 0.6;
88, 156.25 554.37 1. 7.1 7.2 7.3 7.4 7.5 7.6 0.8;
89, 156.25 659.26 1. 3. 5. 7. 9. 11. 13. 1.;
90, 156.25 311.13 1. 2.02 3. 4.04 5. 6.06 7. 0.8;
91, 156.25 440. 1. 2. 3. 4. 5. 6.32 7. 1.;
92, 365. 466.16 2. 4. 6. 8. 10. 12. 14. 1.;
93, 208.75 370. 1. 2. 3. 4. 5. 6. 7. 0.8;
94, 208.75 293.67 1. 8. 9. 10. 11. 12. 13. 1.;
95, 625. 698.46 1. 1.01 3. 3.01 5. 5.01 7. 1.;
